MatvareID;Matvare;Vann;Kilojoule;Kilokalorier;Fett;Omega-3;Karbohydrat;Sukker, tilsatt;Protein;Salt;Alkohol;Vitamin A;Vitamin D;Vitamin E;Vitamin B6;Vitamin C;Kalsium
01.226;Kvarg, 7 % fett, Kesam;82;450;108;7,1;0,03;4;0;7;0,1;0;32;0;0,2;0;0;133
01.088;Lettrømme, 10 % fett;83;491;118;10;0,04;4,1;0;3;0,1;0;44;0,1;0,2;0,03;0;119
01.087;Lettrømme, 18 % fett;75;780;189;18;0,07;3,7;0;3;0,1;0;259;0,1;0,4;0,03;0;105
01.286;Lettrømme, 18 % fett, økologisk;75;780;189;18;0,09;3,7;0;3;0,1;0;258;0,1;0,4;0,03;0;105
01.175;Matfløte, 18 % fett;75;780;189;18;0,07;3,7;0;3;0,1;0;260;0,1;0,4;0,03;0;104
01.294;Matlagingsprodukt, av havre, 13 % fett;79;605;146;12,8;0,91;6,7;M;0,7;0,1;0;0;0;0;0;0;18
01.293;Matlagingsprodukt, av soya, 17 % fett;76;766;186;17,5;0,29;4,1;M;2,9;0,1;0;0;0;16,4;0,02;0;11
01.189;Matlagingsprodukt, whipping;85;428;103;8,3;0;6,4;6,4;0,7;1,8;0;M;M;M;M;0;180
01.180;Rømmedressing, med urter;80;564;136;11,8;0,23;4,7;0;2,8;0,8;0;140;0,2;0,3;0,02;0;110
01.086;Seterrømme, 35 % fett;60;1378;335;35;0,14;2,9;0;2;0,1;0;505;0,2;0,8;0,02;0;80
01.296;Syrnet havreprodukt til matlaging, 15 % fett;72;774;187;15,7;1,08;10,1;M;0,8;0;0;0;0;0;0;0;120
01.295;Syrnet, tyknet havreprodukt;84;319;76;2,4;0,15;11,7;M;1,5;0,1;0;0;1,1;0;0;0;120
01.136;Brie, hvitmuggost;50;1490;360;32;0,13;0;0;18;1,5;0;305;0;0,8;0,13;0;500
01.027;Cheddar, gulost;43;1614;389;32;0,13;0,3;0;25;2;0;376;0,3;0,6;0,15;0;660
01.062;Crème Chérie, mykost;55;1385;335;31;0,12;0;0;14;2,3;0;155;0,2;0,7;0;0;390
01.248;Geitost, hvit, Balsfjord;43;1649;398;34;0,11;0;0;23;1;0;256;0;0,9;0,05;0;1000
01.261;Gorgonzola, blåmuggost;42;1486;359;31,2;0,17;0,1;0;19,4;3,6;0;350;0;0;0,07;0;612
01.262;Gruyere, ost;33;1709;412;32,3;0,43;0,4;0;29,8;1,8;0;271;0,6;0,3;0,08;0;1011
01.038;Gräddost;43;1729;418;38;0,15;0;0;19;1,3;0;362;0;1;0,02;0;600
01.263;Mascarpone, kremost;46;1798;436;44,5;0,27;4,3;0;4,6;0,2;0;394;0,3;1,1;0,04;0;161
01.042;Norzola, blåmuggost;48;1584;383;35;0,14;0;0;17;2,5;0;333;0;0,9;0,12;0;500
01.048;Ridderost;42;1746;422;38;0,15;0;0;20;1,5;0;362;0;1;0,03;0;620
01.264;Roquefort, blåmuggost;42;1470;355;31;0,17;0;0;19;4;0;300;0,7;0,6;0,1;0;608
01.252;Selbu blå, blåmuggost;45;1735;420;40;0,16;0;0;15;2,2;0;381;0;1;0,11;0;440
01.287;Selbu blå, blåmuggost, økologisk;46;1698;411;39;0,2;0;0;15;2,2;0;331;0;1;0,11;0;380
01.265;Stilton, blåmuggost;38;1700;410;35;0,21;0,1;0;23,7;2;0;375;0,2;0,6;0,13;0;326
01.282;Østavind, gulost;41;1643;396;32;0,13;0;0;27;1;0;272;0;0;0;0;675
01.186;Brunost, uspesifisert;31;1707;410;27;0,1;30,3;0;11,3;0,8;0;280;M;0,8;0,04;M;518
01.025;Camembert, hvitmuggost;53;1359;328;28;0,11;0;0;19;1,5;0;267;0;0,7;0,14;0;540
01.251;Chevre, geitost, naturell;56;1308;316;28;0,09;1;0;15;1,1;0;210;0;0,7;0,06;0;64
01.030;Edamer, gulost;45;1475;355;27;0,11;0;0;28;1,5;0;257;0;0,7;0,03;0;800
01.188;Feta, ost med geitmelk;57;1038;250;20,2;0,11;1,5;0;15,6;2,5;0;223;0,5;0,4;0,07;0;360
01.053;Fløtemysost, brunost;31;1693;406;26;0,1;32;0;11;0,9;0;246;0;0;0,05;0;540
01.052;Geitost, brunost;31;1713;411;27;0,09;29;0;13;0,8;0;339;0;0,9;0,01;0;553
01.249;Geitost, hvit, Kvitlin;44;1612;389;33;0,11;0;0;23;1,5;0;225;0;0,8;0,05;0;1000
01.257;Geitost, smørbar, dill, Snøfrisk;68;997;241;23;0,08;2,6;0,1;6;1,5;0;218;0;0,6;0,04;0;97
01.260;Geitost, smørbar, kantarell, Snøfrisk;68;997;241;23;0,08;2,6;0,4;6;1,3;0;218;0;0,6;0,04;0;97
01.117;Geitost, smørbar, naturell, Snøfrisk;67;1049;254;24;0,1;2,5;0;7;1,3;0;109;0;0,7;0,12;0;85
01.258;Geitost, smørbar, rødløk og timian, Snøfrisk;68;999;242;23;0,08;2,7;0;6;1,6;0;218;0;0,6;0,04;0;97
01.055;Gudbrandsdalsost, brunost;32;1716;412;28;0,11;30;0;10;0,8;0;254;0;0,7;0,06;0;460
01.185;Gulost, uspesifisert;46;1445;348;26,7;0,11;0;0;26,9;1,2;0;137;M;0,5;0,03;M;818
01.270;Halloumi, ost;49;1204;290;21,9;0,09;0,9;0;22,3;4,2;0;192;0,2;0,5;0,04;0;633
01.035;Jarlsberg, gulost;46;1458;351;27;0,11;0;0;27;1,1;0;257;0;0,7;0,02;0;770
01.253;Kremost, krydder;64;1145;277;27;0,11;2,6;0;6;1;0;257;0;0,7;0,03;0;96
01.150;Kremost, naturell;64;1147;278;27;0,11;2,7;0;6;1;0;257;0;0,7;0,03;0;96
01.254;Kremost, pepper;64;1147;278;27;0,11;2,7;0;6;1;0;257;0;0,7;0,03;0;96
01.269;Kremost, Philadelphia;63;1160;281;27,3;0,6;2,7;0;6,1;0,7;0;285;0,1;0,7;0,04;0;88
01.212;Kremost, urter;64;1147;278;27;0,11;2,7;0;6;1;0;257;0;0,7;0,03;0;96
01.300;Manchego, ost;40;1622;391;30,4;0,2;0,5;0;28,8;1,7;0;0;0,3;0,6;0,2;0;765
01.066;Mozzarella, norsk;49;1320;317;23;0,09;0,6;0;27;1,2;0;218;0;0,6;0,03;0;880
01.037;Normanna, blåmuggost;51;1393;336;28;0,11;0;0;21;2,5;0;267;0;0,7;0,12;0;500
01.039;Norvegia, gulost;46;1458;351;27;0,11;0;0;27;1,2;0;107;0;0,5;0,03;0;820
01.247;Norvegia, gulost, fyldig;45;1535;370;30;0,12;0;0;25;1,2;0;286;0;0,8;0,03;0;730
01.245;Norvegia, gulost, vellagret;45;1495;360;28;0,11;0;0;27;1,2;0;127;0;0,5;0,03;0;780
01.246;Norvegia, gulost, økologisk;46;1458;351;27;0,14;0;0;27;1,2;0;257;0;0,7;0,03;0;800
01.043;Nøkkelost;46;1458;351;27;0,11;0;0;27;1,5;0;257;0;0,7;0,03;0;800
01.200;Parmesan, ost;28;1730;416;29,7;0,18;0,9;0;36,2;1,7;0;390;0,3;0,8;0,11;0;1025
01.219;Pizzaost, revet;50;1255;301;20;0,08;0,3;0;30;1,1;0;277;0;0,6;0,03;0;900
01.046;Port Salut, kittmodnet ost;51;1333;321;25;0,1;0;0;24;1,5;0;238;0;0,7;0,04;0;720
01.267;Raclette, ost;41;1481;357;27,9;0,15;0;0;26,4;1,8;0;263;0,2;0,7;0,06;0;671
01.050;Sveitserost, gulost;44;1512;364;28;0,11;0;0;28;1,3;0;259;0;0,7;0,03;0;790
01.161;Taffelost, tomat;52;1301;313;24;0,1;0,3;0;24;2,8;0;165;0;0,5;0;0;660
01.190;Ystet produkt med vegetabilsk fett;41;1516;366;30;0,17;0,9;0;23;1,5;0;10;0;6,6;0,05;0;700
01.063;Baconost, smørbar;68;886;213;17;0,07;0,1;0;15;2,4;0;175;0,1;0;0,16;0;376
01.028;Cottage Cheese;81;406;97;4,3;0,02;1,5;0;13;0,4;0;18;0;0;0;0;80
01.054;Fløtemysost, brunost, lett;31;1493;356;16;0,06;41;0;12;0,9;0;155;0;0,4;0;0;553
01.032;Gamalost;45;940;221;0,6;0;0;0;54;0,1;0;10;0;0;0,08;0;150
01.058;Gomme, Namdal;52;1056;252;12;0,05;26;6;10;0,6;0;114;0;0,3;0;0;398
01.072;Gudbrandsdalsost, brunost, lett;30;1510;360;16;0,06;42;0;12;0,9;0;146;0;0,4;0;0;594
01.071;Jarlsberg, gulost, lett;53;1119;268;16;0,06;0;0;31;1;0;152;0;0,4;0,02;0;910
01.271;Kremost, lett, Philadelphia;72;782;189;16;0,14;3,4;0;7,8;0,4;0;169;0,1;0,4;0,02;0;52
01.204;Magerost, smørbar, 10 % fett;68;676;162;10;0,05;0;0;18;2,8;0;53;0,1;0,2;0,06;0;552
01.202;Magerost, smørbar, 3 % fett;75;421;100;3;0,02;0;0;17;2,5;0;24;0;0,1;0,06;0;513
01.064;Magerost, smørbar, 7 % fett;71;547;131;6,5;0,04;0;0;18;2,2;0;53;0;0,2;0,06;0;510
01.297;Mozzarella, i lake, importert;67;886;213;16,6;0,11;0,4;0;15,6;0,5;0;166;0;0,4;0;0;306
01.138;Mozzarella, lett, norsk;53;1112;266;16;0,06;0,6;0;30;1;0;152;0;0,4;0,04;0;940
01.040;Norvegia, gulost, lett;53;1119;268;16;0,06;0;0;31;1,2;0;161;0;0,4;0,04;0;930
01.142;Nøkkelost, lett;52;1136;272;16;0,06;0;0;32;1,4;0;152;0;0,4;0,04;0;940
01.059;Prim;43;1129;268;8;0,03;42;9;7;0,8;0;74;0;0,2;0,17;0;363
01.060;Prim, lett;44;1032;244;4;0,02;45;9;7;0,8;0;38;0;0,1;0;0;341
01.220;Prim, med jern, Sprett;42;1146;272;8;0,03;43;8;7;0,8;0;76;0;0,2;0;0;343
01.250;Pultost, Hedemark;59;717;169;1;0;0;0;40;2,3;0;10;0;0;0,1;0;180
01.047;Pultost, Løiten;69;536;126;0,7;0;0;0;30;2;0;10;0;0;0,06;0;110
01.266;Ricotta, ferskost;72;676;163;13;0,11;0,3;0;11,3;0,2;0;120;0,2;0,1;0,04;0;207
02.001;Egg, rå;77;620;149;10,7;0,17;0,3;0;13;0,4;0;175;2,5;5,1;0,14;0;55
02.030;Egg, økologisk, rå;77;606;146;10,5;0,24;0,3;0;12,5;0,4;0;195;4;6,6;0,13;0;47
02.010;Eggedosis;59;870;207;8,2;0,13;23,3;23,1;10;0,3;0;135;1,9;3,9;0,1;0;42
02.002;Eggehvite, rå;89;180;42;0;0;0,4;0;10,2;0,5;0;0;0;0;0,01;0;6
02.003;Eggeplomme, rå;56;1330;321;28,5;0,43;0,2;0;16;0,2;0;440;8;13,3;0,31;0;135
02.026;Egg, kokt;76;614;148;10,5;0,16;0,3;0;12,9;0,3;0;165;2,4;5;0,11;0;51
02.025;Egg, stekt i fett;69;860;207;16,7;0,38;0,4;0;13,9;0,4;0;198;3;5,5;0,13;0;60
02.037;Egg, økologisk, kokt;77;600;144;10,4;0,23;0,3;0;12,4;0,3;0;183;3,8;6,5;0,1;0;44
02.038;Egg, økologisk, stekt;70;845;204;16,5;0,45;0,4;0;13,4;0,4;0;218;4,6;7;0,13;0;52
02.039;Eggehvite, kokt;90;178;42;0;0;0,4;0;10,1;0,5;0;0;0;0;0,01;0;6
02.040;Eggeplomme, kokt;56;1317;318;28,2;0,42;0,2;0;15,8;0,2;0;436;7,9;13,1;0,3;0;134
02.008;Eggerøre, stekt i fett;68;947;229;20,2;0,51;0,6;0;11,2;1,2;0;195;2,8;4,6;0,11;0;56
02.009;Eggerøre, stekt uten fett;75;653;157;11,8;0,16;0,7;0;12,1;1,1;0;189;2,3;4,7;0,13;0;62
02.006;Omelett, stekt i fett;73;750;181;14,4;0,27;0,7;0;12,1;0,6;0;187;2,4;4,6;0,12;0;61
